scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 m,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.9942519949194426,Open Bog,OFEN,0.005748005080557367,Open Fen,1
100 m,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.7281799645513138,Open Bog,OFEN,0.22776427894696072,Open Fen,0.9559442434982746
1 km,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.2985952677013513,Open Fen,TrBOG,0.23140291243970484,Treed Bog,0.5299981801410562
1 m,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
1 km,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.3326431934615349,Open Bog,OFEN,0.27452319543688947,Open Fen,0.6071663888984244
1 m,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
100 m,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.9363415304085482,Treed Bog,ConSWA,0.06365846959145179,Coniferous Swamp,1
1 km,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.4775778044973864,Coniferous Swamp,ConTRE,0.23456412668276008,Coniferous Treed,0.7121419311801465
1 m,P218-5_77_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P218-5_77_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.9769213778942012,Treed Bog,TrFEN,0.023078622105798804,Treed Fen,1
100 m,P218-5_77_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.7973879448989714,Treed Bog,TrFEN,0.2026117150737094,Treed Fen,0.9999996599726808
1 km,P218-5_77_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.33957606029386234,Treed Bog,OBOG,0.3363142163757261,Open Bog,0.6758902766695885
1 m,P218-6_78_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P218-6_78_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.9176491676621279,Open Bog,TrBOG,0.08235083233787209,Treed Bog,1
100 m,P218-6_78_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.5850776121289241,Open Bog,TrBOG,0.39360277508381664,Treed Bog,0.9786803872127408
1 km,P218-6_78_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.5223092570591706,Treed Bog,OBOG,0.19850545857962668,Open Bog,0.7208147156387973
1 m,P219-7_89_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P219-7_89_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
100 m,P219-7_89_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.9750712186331868,Treed Fen,TrBOG,0.02492878136681321,Treed Bog,1
1 km,P219-7_89_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.42783718840039353,Treed Fen,TrBOG,0.31307332847546754,Treed Bog,0.7409105168758611
1 m,P229-2_2_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P229-2_2_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.8315830757132978,Treed Bog,OBOG,0.12214134545757437,Open Bog,0.9537244211708722
100 m,P229-2_2_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.7512203359057626,Treed Bog,OBOG,0.1587546744831235,Open Bog,0.9099750103888862
1 km,P229-2_2_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.39991347668578825,Treed Bog,OBOG,0.31662007094588046,Open Bog,0.7165335476316688
