scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 km,111_P264-7_2025_peat_sites_1028,TrBOG,0.4011171667163185,Treed Bog,OBOG,0.3237899253951518,Open Bog,0.7249070921114702
1 m,112_P115-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,112_P115-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,112_P115-1_2025_peat_sites_1028,OBOG,0.907026137162273,Open Bog,TrBOG,0.09297386283772699,Treed Bog,1
1 km,112_P115-1_2025_peat_sites_1028,TrBOG,0.46293315171044624,Treed Bog,OBOG,0.17144898685650958,Open Bog,0.6343821385669558
1 m,114_P115-3_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,114_P115-3_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
100 m,114_P115-3_2025_peat_sites_1028,OFEN,0.9729073470441576,Open Fen,OBOG,0.027092652955842407,Open Bog,1
1 km,114_P115-3_2025_peat_sites_1028,OBOG,0.3920134783238122,Open Bog,TrBOG,0.3464171455159398,Treed Bog,0.738430623839752
1 m,115_P115-5_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,115_P115-5_2025_peat_sites_1028,TrBOG,0.8882322461686354,Treed Bog,ConSWA,0.07974806775538867,Coniferous Swamp,0.9679803139240241
100 m,115_P115-5_2025_peat_sites_1028,TrBOG,0.7315145281733508,Treed Bog,ConSWA,0.20841025922026257,Coniferous Swamp,0.9399247873936134
1 km,115_P115-5_2025_peat_sites_1028,TrBOG,0.4797032254571131,Treed Bog,OBOG,0.21203397732557408,Open Bog,0.6917372027826871
1 m,117_P238-5_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,117_P238-5_2025_peat_sites_1028,OFEN,0.5119367499574942,Open Fen,OBOG,0.28046416077229763,Open Bog,0.7924009107297918
100 m,117_P238-5_2025_peat_sites_1028,OBOG,0.36797006361802503,Open Bog,TrBOG,0.34117038241974995,Treed Bog,0.709140446037775
1 km,117_P238-5_2025_peat_sites_1028,TrBOG,0.331917213349471,Treed Bog,OBOG,0.33129990808150195,Open Bog,0.663217121430973
1 m,118_P238-6_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,118_P238-6_2025_peat_sites_1028,OBOG,0.9822299710271436,Open Bog,TrBOG,0.017770028972856358,Treed Bog,1
100 m,118_P238-6_2025_peat_sites_1028,OBOG,0.8837819170376504,Open Bog,TrBOG,0.11621808296234963,Treed Bog,1
1 km,118_P238-6_2025_peat_sites_1028,ConSWA,0.29835433371221537,Coniferous Swamp,TrBOG,0.21304958086869358,Treed Bog,0.511403914580909
